Category,Name,Description,Price
Signature Dishes,Chef's Seafood Platter,"A lavish assortment of grilled prawns, lobster, fish, and calamari served with a tangy garlic aioli and lemon wedges.",4950
Signature Dishes,Spiced Lamb Shank,"Slow-braised lamb shank infused with aromatic Sri Lankan spices, served on a bed of creamy mashed potatoes and vegetable medley.",3800
Signature Dishes,Black Pepper Crab,"A Sri Lankan culinary treasure, mud crab cooked in a rich and spicy black pepper sauce.",6200
Signature Dishes,"Wood-fired Pizza with Smoked Chicken & Pineapple","A gourmet pizza with the sweetness of pineapple complementing the smokiness of chicken on a crisp wood-fired crust.",2650
Signature Dishes,"Coconut & Cashew Curry with Roast Chicken","A creamy and flavorful curry made with coconut milk and cashews, served with succulent roast chicken.",2900
Appetizers,Crispy Fried Calamari,"Tender calamari rings lightly battered and fried to a golden crisp, served with a spicy mayo dip.",1250
Appetizers,Vegetable Spring Rolls,"Crispy spring rolls filled with a medley of fresh vegetables, served with a sweet chili sauce.",850
Appetizers,"Bruschetta with Tomato & Basil","Toasted baguette slices topped with fresh tomatoes, basil, garlic, and a drizzle of balsamic glaze.",900
Appetizers,Spicy Chicken Wings,"Juicy chicken wings marinated in a fiery blend of spices and baked to perfection.",1100
Appetizers,"Cheese & Spinach Dip with Tortilla Chips","A creamy dip of cheese and spinach served with crispy tortilla chips.",1400
Beverages,Fresh Lime Juice,"Refreshing lime juice made with freshly squeezed limes.",450
Beverages,Mango Lassi,"A creamy and sweet yogurt-based drink blended with ripe mangoes.",600
Beverages,Iced Coffee,"Chilled coffee served with milk or cream and your choice of sweetener.",500
Beverages,"Ceylon Tea (Hot/Iced)","Premium Ceylon tea served hot or iced.",350
Beverages,Strawberry Smoothie,"A delightful blend of strawberries, yogurt, and a touch of honey.",700
Beverages,Coca-Cola/Sprite,"Classic soft drinks.",300
Beverages,Ginger Beer,"A spicy and refreshing ginger-flavored beverage.",400
Salads,"Mixed Green Salad with Balsamic Vinaigrette","A refreshing mix of greens with tomatoes, cucumbers, carrots, and a tangy balsamic dressing.",950
Salads,"Caesar Salad with Grilled Chicken","Crisp romaine lettuce tossed in creamy Caesar dressing with croutons, parmesan cheese, and grilled chicken.",1400
Salads,Greek Salad,"A Mediterranean classic with tomatoes, cucumbers, onions, olives, and feta cheese.",1100
Salads,"Avocado & Shrimp Salad","A light and flavorful salad with avocado slices, shrimp, mixed greens, and a citrus dressing.",1600
Sandwiches,Club Sandwich,"A triple-decker sandwich with chicken, bacon, lettuce, tomato, and mayonnaise.",1200
Sandwiches,"Grilled Chicken Panini","Grilled chicken breast, cheese, and your choice of toppings in a panini bread.",1100
Sandwiches,"Roast Beef & Cheddar Sandwich","Thinly sliced roast beef and cheddar cheese with lettuce and tomato on a baguette.",1300
Sandwiches,Veggie Wrap,"A soft tortilla wrap filled with hummus, falafel, lettuce, tomato, cucumber, and tahini sauce.",950
Sandwiches,"Egg & Bacon Sandwich","Classic egg and bacon sandwich on toast.",800
Mains,"Grilled Salmon with Lemon-Dill Sauce","Fresh salmon fillet grilled to perfection and topped with a zesty lemon-dill sauce.",3200
Mains,"Pan-Seared Sea Bass with Roasted Vegetables","Delicate sea bass pan-seared and served with a medley of roasted seasonal vegetables.",3500
Mains,Chicken Cacciatore,"A hearty Italian stew with chicken, tomatoes, onions, mushrooms, and herbs.",2800
Mains,Beef Stroganoff,"Tender strips of beef cooked in a creamy mushroom sauce, served with rice or noodles.",3100
Mains,"Vegetable Lasagna","Layers of pasta, ricotta cheese, vegetables, and tomato sauce baked to perfection.",2400
Mains,"Pork Chops with Apple Chutney","Juicy pork chops grilled and served with a sweet and tangy apple chutney.",2900
Mains,"Sri Lankan Chicken Curry","Aromatic Sri Lankan curry with chicken, coconut milk, and a blend of spices.",2600
Mains,"Mutton Rogan Josh","A rich and flavorful Kashmiri curry with tender mutton in a fragrant gravy.",3400
